Date,Day_of_Week,Time_NZST,Platform,Product,Format,Ratio,Headline_EN,Caption_EN,Hashtags_IG,URL_Organic_UTM,LoveArt_Prompt_EN,Image_URL,Status,Internal_Notes_ZH
2026-04-21,Monday,08:00,Instagram,Shanghai & Surroundings,Reel,9:16,Jiangnan Elegance,"Want to experience classical China without the northern rush? Shanghai & Surroundings takes you through the heart of Jiangnan — Suzhou's elegant gardens, West Lake's misty shores, and Shanghai's electric energy. 10 days of water-town refinement, garden strolls, and authentic local flavour. Many NZ passport holders may qualify for visa-free entry — confirm for your itinerary before booking.",#ChinaTravel #ShanghaiBound #JiangnanLife #VIsafreeChina #TravelNZ #ChinaTourism #NewZealandToChina #OctoberTravel #CTSTours,https://www.ctstours.co.nz/campaigns/october-2026/shanghai-surroundings?utm_source=instagram&utm_medium=social&utm_campaign=oct2026_discovery_ig_organic&utm_content=apr21_jiangnan_elegance_reel,"Create a 9:16 mobile video frame: An elegant Suzhou garden scene with traditional bridge arching over still water. Manicured landscaping, autumn foliage in warm tones (oranges, golds). Soft morning light filtering through stone corridors. Include overlay text in upper third: 'Jiangnan Elegance' in elegant serif font (color: dark navy). Brand watermark (warm orange circle) lower right. Style: luxe travel photography, crisp detail, 35mm cinema mood. No people.",,draft,上海与周边线路，出发点：江南优雅与精致。Reel前3秒需突出"Jiangnan Elegance"和园林意象。无兵马俑、无长城。
2026-04-21,Monday,10:30,Facebook,Visa-Free Education,Feed,4:5,Do You Need a Visa?,"🛫 Planning your China trip? One question we hear from kiwi travellers: 'Do I need a visa?' The good news? Many New Zealanders may qualify for visa-free entry to China for leisure travel. But here's the catch: it depends on your specific dates and itinerary. Our full China Visa Guide breaks down: ✓ Who qualifies for visa-free entry ✓ What documents you'll need ✓ Timeline for applications ✓ FAQ for common concerns. Many NZ passport holders may qualify for visa-free entry — confirm for your itinerary before booking. Read the full guide and start planning with confidence.",N/A,https://www.ctstours.co.nz/china-visa-guide-for-new-zealanders?utm_source=facebook&utm_medium=social&utm_campaign=oct2026_discovery_fb_organic&utm_content=apr21_visa_education_feed,"Create a 4:5 educational card (Feed image). Left side: large bold question mark in warm orange (#D97706). Center: silhouette of NZ passport in navy. Right side: arrow pointing right (suggest 'Learn more'). Soft beige background (warm-50). Bottom third: text 'Many NZ passport holders may qualify for visa-free entry' in clean sans-serif, dark gray. CTA: 'Confirm before booking' in navy. No photo required; bold graphic design. Brand consistency (CTS warm palette).",,draft,免签教育向帖。无论是否订购产品，所有人都受益于此信息。链接到独立的签证指南页面。
2026-04-22,Tuesday,08:00,Instagram,A Tale of Two Cities,Reel,9:16,First China Trip?,"Your first China trip should be unforgettable AND uncomplicated. 'A Tale of Two Cities' is designed exactly for that. ✓ Beijing: Walk the Great Wall, explore the Forbidden City, wander through hutongs ✓ Xi'an: Stand face-to-face with the Terracotta Warriors, taste Tang Dynasty history. High-speed rail connects the two in 4 comfortable hours. Clear itinerary. Expert guides. October departures ready from Auckland. Many NZ passport holders may qualify for visa-free entry — confirm for your itinerary before booking.",#ChinaTravel #BeijingToXian #GreatWall #TerracottaWarriors #FirstTrip #ChinaTourism #CTS #VIsafreeChina #NewZealandAdventure #TravelGoals,https://www.ctstours.co.nz/campaigns/october-2026/tale-of-two-cities?utm_source=instagram&utm_medium=social&utm_campaign=oct2026_discovery_ig_organic&utm_content=apr22_first_china_trip_reel,"Create a 9:16 Reel thumbnail: Iconic Great Wall winding through golden-hour mountains. Warm sunrise tones (oranges, deep reds). Add subtle overlay: 'First China Trip? Start with Beijing + Xi'an' in large serif font (color: warm orange). Dynasty-style decorative corner element (upper left, navy). CTS logo watermark (lower right, warm orange). Mood: history, discovery, optimistic. 4K mobile cinema format.",,draft,"北京+西安"线路首支有机Reel。关键词："First China trip"、"uncomplicated"。无江南内容。
2026-04-23,Wednesday,10:00,Facebook,Shanghai & Surroundings,Feed,4:5,Modern + Classic,"Shanghai is electric. West Lake is serene. Suzhou is timeless. What if you could experience all three in one journey? Shanghai & Surroundings weaves together the energy of modern Shanghai with the classical gardens, water towns, and lakeside charm of Jiangnan — the ancient cultural heartland just hours away. ✓ Walk the Bund at night; watch Shanghai's skyline light up ✓ Stroll Suzhou's carefully designed gardens; feel centuries of refinement ✓ Rest on West Lake's shores; understand why poets came here for inspiration ✓ Taste local flavours; move at a relaxed pace. 10 days. One route. Two versions of China. Many NZ passport holders may qualify for visa-free entry — confirm for your itinerary before booking. October departures are ready.",N/A,https://www.ctstours.co.nz/campaigns/october-2026/shanghai-surroundings?utm_source=facebook&utm_medium=social&utm_campaign=oct2026_discovery_fb_organic&utm_content=apr23_modern_classic_feed,"Create a 4:5 carousel-cover image. Split-frame composition: LEFT—Shanghai Bund at night with illuminated skyscrapers (modern, electric blues + golds). RIGHT—West Lake with traditional pagoda and misty hills (classic, soft greens + whites). Soft vignette blending the two halves. Bottom banner: 'Shanghai Energy + Jiangnan Charm' in mixed serif/sans fonts. Warm orange accent line separating halves. Subtle CTS watermark (lower right).",,draft,江南线路主打，强调"Modern + Classic"对比。Bund vs West Lake。无长城、无兵马俑。
2026-04-23,Wednesday,18:00,Instagram,Planning Tips,Reel,9:16,Best Time: October in China,"October in China is *chef's kiss*. Clear skies. Mild temperatures. Autumn colours everywhere. No oppressive summer heat. No winter chill. If you're thinking of a first China trip, October is when to go. Here's what to pack: ✓ Light layers (mornings cool, afternoons warm) ✓ Comfortable walking shoes (you'll log thousands of steps!) ✓ Light rain jacket (just in case) ✓ Sunscreen + hat (higher altitude in some spots) ✓ Small scarf (versatile, and adds to the vibe). CTS's October 2026 Discovery tours depart from Auckland mid-October — perfect timing for the season's best. Many NZ passport holders may qualify for visa-free entry — confirm for your itinerary before booking.",#PackingTips #ChinaTravel #October #TravelPrep #FirstTimeTravel #NZTravel #TravelPacking #ChinaTourism #CTSTours,https://www.ctstours.co.nz/campaigns/october-2026/tale-of-two-cities?utm_source=instagram&utm_medium=social&utm_campaign=oct2026_discovery_ig_organic&utm_content=apr23_october_packing_reel,"Create a 9:16 Reel frame: Montage-style frame showing autumn in China. Top third: maple leaves in warm reds + oranges catching afternoon light. Middle: wide landscape of clear blue sky over mountains. Bottom third: flat-lay of travel essentials (light sweater, umbrella, daypack) in warm tones. Overlay text: 'October: Perfect for China Travel' (serif, warm orange). Include small icons: temperature (mild), cloud (clear), calendar (October). CTS brand watermark. Travel photography mood, inviting.",,draft,规划建议类内容。突出十月季节优势。
2026-04-24,Thursday,08:00,Instagram,A Tale of Two Cities,Reel,9:16,Ancient Warriors,"Stand in front of 2,000-year-old soldiers. Xi'an's Terracotta Army isn't just a photo spot — it's an encounter with history. Rows upon rows of intricately detailed warriors, each one unique, all standing guard just as they did under the Qin Dynasty. A Tale of Two Cities brings you face-to-face with this ancient wonder, plus the majesty of Beijing's Great Wall and Forbidden City. History doesn't have to be complicated. This tour keeps it simple: iconic sites, clear itinerary, expert guides who bring the stories to life. Many NZ passport holders may qualify for visa-free entry — confirm for your itinerary before booking. October departures from Auckland.",#TerracottaWarriors #Xi'an #ChinaHistory #AncientChina #BucketList #ChinaTravel #HistoryTravel #CTS #NewZealand #TravelGoals,https://www.ctstours.co.nz/campaigns/october-2026/tale-of-two-cities?utm_source=instagram&utm_medium=social&utm_campaign=oct2026_discovery_ig_organic&utm_content=apr24_terracotta_warriors_reel,"Create a 9:16 Reel: Terracotta Warriors Army in formation (wide shot, row after row of ancient statues). Professional museum lighting with warm amber highlighting clay details. Add dramatic shadows to emphasize depth. Overlay text (middle): 'See History Come Alive' in serif font (warm orange). Bottom: '2,000-year-old Terracotta Warriors await in Xi'an' (smaller sans-serif, navy). CTS watermark (lower right, orange circle). Cinematic, awe-inspiring mood.",,draft,"北京+西安"线路，焦点：兵马俑。Pain-point角度："History made simple"。
2026-04-25,Friday,10:00,Facebook,A Tale of Two Cities,Feed,4:5,Beijing + Xi'an in 10 Days,"Two ancient cities. Endless history. One unforgettable journey. Beijing is imperial China: the Great Wall snaking through mountains, the Forbidden City's grandeur, hutongs where daily life unfolds as it has for centuries. Xi'an is Tang Dynasty: the Terracotta Warriors standing eternal guard, Tang City Walls where emperors once ruled, temples and gardens steeped in Buddhist tradition. A Tale of Two Cities connects them via high-speed rail in 4 comfortable hours — and brings them to life through expert guides, carefully chosen hotels, and an itinerary that's clear and unhurried. ✓ 10 days ✓ October ready from Auckland ✓ All flights, land transport, 4-star hotels, guides, and most meals included ✓ Many NZ passport holders may qualify for visa-free entry — confirm for your itinerary before booking. This is the first China trip that actually feels doable. Iconic. Uncomplicated.",N/A,https://www.ctstours.co.nz/campaigns/october-2026/tale-of-two-cities?utm_source=facebook&utm_medium=social&utm_campaign=oct2026_discovery_fb_organic&utm_content=apr25_beijing_xian_feed,"Create a 4:5 split-screen image. TOP: Great Wall winding through mountains at sunset (warm golds + purples, dramatic sky). BOTTOM: Terracotta Warriors in organized rows (museum ambiance, earthy terracottas + golds). Thin warm orange line separating halves. Center overlay: '10 Days: Iconic Beijing + Xi'an' (serif, white text with dark shadow for contrast). CTS watermark (corner). Epic, bucket-list mood.",,draft,"北京+西安"完整产品介绍。强调简洁性、包含性、时间表。
2026-04-25,Friday,18:00,Instagram,Shanghai & Surroundings,Reel,9:16,Shanghai Energy,"Shanghai never sleeps. The Bund pulses with energy: skyscrapers reflected in the Huangpu River, lights turning on across the skyline, the smell of street food, the hum of millions of people discovering and rediscovering one of Asia's most electrifying cities. Shanghai & Surroundings puts you in the heart of it. And then it whisks you away to the quiet gardens of Suzhou, the lakeside serenity of West Lake, the timeless water towns where life moves slower and history is written into every stone bridge. Modern China. Classical China. One journey. Many NZ passport holders may qualify for visa-free entry — confirm for your itinerary before booking. October. Ready to depart from Auckland.",#Shanghai #BundLife #ChinaEnergy #JiangnanElegance #ChinaTravel #CTS #VIsafree #NewZealand #TravelChina #ModernChina,https://www.ctstours.co.nz/campaigns/october-2026/shanghai-surroundings?utm_source=instagram&utm_medium=social&utm_campaign=oct2026_discovery_ig_organic&utm_content=apr25_shanghai_energy_reel,"Create a 9:16 Reel: Shanghai Bund at twilight/dusk. Glittering skyscrapers reflected in Huangpu River (cool blues + warm amber light). Busy riverside scene with soft people silhouettes (blurred, cinematic). Overlay text (upper): 'Shanghai Energy' (serif, warm orange glow effect). Bottom text: 'Modern China Awaits' (sans-serif, white). CTS watermark. Contemporary, vibrant mood. 4K cinema.",,draft,江南线路，强调上海现代活力 + 江南古典对比。
2026-04-26,Saturday,08:00,Instagram,Visa-Free Education,Reel,9:16,Visa-Free FAQ,"'Do I need a visa to visit China?' The answer isn't always 'yes' — and that's good news. Many New Zealand passport holders can enter China for leisure travel **without a visa** under the country's temporary visa-free policy. But — and this is important — the rules depend on: ✓ Your specific travel dates ✓ Your planned itinerary ✓ How long you're staying ✓ Your reason for travel. We get this question constantly. And we always say the same thing: **confirm before you book**. Our full China Visa Guide walks you through: — Who qualifies — How long you can stay — What to prepare — FAQ section addressing common worries. Many NZ passport holders may qualify for visa-free entry — confirm for your itinerary before booking.",#ChinaVisa #VIsafree #TravelTips #ChinaTravel #CTS #NewZealand #TravelGuide #TravelPrep #FAQ,https://www.ctstours.co.nz/china-visa-guide-for-new-zealanders?utm_source=instagram&utm_medium=social&utm_campaign=oct2026_discovery_ig_organic&utm_content=apr26_visa_faq_reel,"Create a 9:16 motion-ready frame (static image optimized for Reel animation). Central composition: Large question mark (navy) transforming/morphing into checkmark (warm orange). Background: Subtle NZ flag (top left) + China flag (bottom right) in soft, muted tones. Text overlay: 'Do You Need a Visa?' (serif, warm orange, upper third). Bottom third: 'Many NZ passport holders may qualify for visa-free entry — confirm for your itinerary before booking' (sans-serif, navy, smaller). CTS watermark (lower right). Clean, modern motion design feel.",,draft,免签FAQ教育向Reel。清晰、可信、实际。
2026-04-27,Sunday,10:00,Facebook,Social Proof,Feed,4:5,I Booked My First China Trip,"'I was nervous about my first China trip. The visa, the language, the logistics — it all felt overwhelming. But CTS made it simple. From the moment I enquired, the team was responsive and clear. They answered every question. They explained the itinerary in detail. They gave me confidence that I could actually do this. I walked the Great Wall. I saw the Terracotta Warriors. I ate dumplings in Beijing hutongs. I stood in the Forbidden City imagining dynasties past. And I did it all comfortably, safely, with an amazing guide and a group of lovely fellow travellers. If you're thinking about China but feeling nervous — don't. Start with CTS. They make it happen.' — Carol, Auckland. Many NZ passport holders may qualify for visa-free entry — confirm for your itinerary before booking.",N/A,https://www.ctstours.co.nz/tours/china/discovery/beijing-xian?utm_source=facebook&utm_medium=social&utm_campaign=oct2026_discovery_fb_organic&utm_content=apr27_testimonial_feed,"Create a 4:5 testimonial card. Center: Portrait of a happy traveller (woman, 40-50s, warm smile) standing before an iconic China landmark (suggest: section of Great Wall or Forbidden City gate, soft-focused background). Warm golden-hour lighting. Quote overlay (top): '\"CTS made my first China trip effortless\"' (italic serif, dark navy). Bottom text: '— Carol, Auckland' (sans-serif, warm orange). CTS watermark. Trust-building, authentic mood. If using stock, ensure diverse representation.",,draft,社会认可 / 推荐 Testimonial。首次旅行者焦虑 → 解决方案视角。
